epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2584.39,0.44094,0.6231,0.40205,0.87384,0.9992,0.99934,0.995,0.97819,0.9992,0.99934,0.995,0.88859,0.27072,0.46817,0.20737,0.79943,0.0080695,0.0080695,0.0080695
41,2645.96,0.44556,0.61223,0.40769,0.87331,0.99909,0.99939,0.995,0.97701,0.99909,0.99939,0.995,0.88564,0.27652,0.47572,0.20474,0.79867,0.00802,0.00802,0.00802
42,2707.78,0.43968,0.61295,0.4027,0.87353,0.99802,0.99872,0.995,0.97311,0.99802,0.99872,0.995,0.88227,0.27901,0.47554,0.20595,0.79974,0.0079705,0.0079705,0.0079705
43,2771.23,0.44067,0.61868,0.39861,0.87397,0.99783,0.9998,0.995,0.97064,0.99783,0.9998,0.995,0.88916,0.28106,0.4758,0.20217,0.79844,0.007921,0.007921,0.007921
44,2831.86,0.4361,0.61217,0.40202,0.87062,0.99829,0.99894,0.99499,0.97673,0.99829,0.99894,0.99499,0.88558,0.27367,0.47325,0.20325,0.79829,0.0078715,0.0078715,0.0078715
45,2894.38,0.43041,0.61228,0.39578,0.86882,0.99904,0.99945,0.995,0.9812,0.99904,0.99945,0.995,0.8913,0.26503,0.46212,0.19991,0.79416,0.007822,0.007822,0.007822
46,2955.63,0.43049,0.60285,0.3892,0.86872,0.99916,0.99888,0.995,0.97668,0.99916,0.99888,0.995,0.88788,0.26339,0.4587,0.19476,0.79451,0.0077725,0.0077725,0.0077725
47,3017.14,0.43129,0.59885,0.38819,0.86813,0.99921,0.99804,0.995,0.97409,0.99921,0.99804,0.995,0.88525,0.27477,0.46672,0.19819,0.79819,0.007723,0.007723,0.007723
48,3078.41,0.42455,0.59969,0.37903,0.87082,0.99963,0.99928,0.995,0.97753,0.99963,0.99928,0.995,0.88455,0.26481,0.45893,0.19166,0.79622,0.0076735,0.0076735,0.0076735
49,3140.25,0.42585,0.59752,0.37703,0.86792,0.99887,0.99894,0.995,0.97732,0.99887,0.99894,0.995,0.88869,0.27488,0.47193,0.19785,0.79708,0.007624,0.007624,0.007624
50,3201.45,0.42704,0.60706,0.37601,0.86864,0.99975,0.99936,0.995,0.98052,0.99975,0.99936,0.995,0.88965,0.26317,0.47093,0.18971,0.79477,0.0075745,0.0075745,0.0075745
51,3262.65,0.42386,0.59585,0.37638,0.86683,0.99969,1,0.995,0.97533,0.99969,1,0.995,0.88504,0.28377,0.46639,0.19568,0.79776,0.007525,0.007525,0.007525
52,3323.94,0.42465,0.59589,0.37357,0.86798,0.99957,0.99929,0.995,0.9784,0.99957,0.99929,0.995,0.88747,0.26727,0.46691,0.19187,0.79427,0.0074755,0.0074755,0.0074755
53,3385.35,0.42321,0.59253,0.37588,0.87033,0.99918,0.99915,0.995,0.97527,0.99918,0.99915,0.995,0.89435,0.27665,0.45347,0.19286,0.79707,0.007426,0.007426,0.007426
54,3446.21,0.42287,0.60483,0.37047,0.86518,0.99972,0.99941,0.995,0.97942,0.99972,0.99941,0.995,0.88997,0.25979,0.45992,0.18498,0.7938,0.0073765,0.0073765,0.0073765
55,3507.12,0.41985,0.59803,0.36468,0.86493,0.99954,0.99933,0.995,0.97376,0.99954,0.99933,0.995,0.88488,0.28282,0.46537,0.19129,0.79724,0.007327,0.007327,0.007327
