epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2974.41,0.38526,0.55134,0.34163,0.83951,0.99933,0.99935,0.995,0.99041,0.99933,0.99935,0.995,0.89884,0.21803,0.43377,0.14486,0.75684,0.0079705,0.0079705,0.0079705
43,3037.79,0.38244,0.548,0.3328,0.8383,0.99965,0.99936,0.995,0.98669,0.99965,0.99936,0.995,0.89811,0.23901,0.44171,0.14798,0.75856,0.007921,0.007921,0.007921
44,3100.5,0.38037,0.55072,0.34107,0.83873,0.99975,1,0.995,0.98859,0.99975,1,0.995,0.89752,0.22534,0.4214,0.14579,0.75764,0.0078715,0.0078715,0.0078715
45,3162.95,0.38092,0.54697,0.33736,0.83546,0.9998,1,0.995,0.98899,0.9998,1,0.995,0.90256,0.21774,0.4297,0.14077,0.7566,0.007822,0.007822,0.007822
46,3226.05,0.37927,0.53861,0.32913,0.83698,0.99981,1,0.995,0.98609,0.99981,1,0.995,0.90005,0.22535,0.42214,0.14517,0.75666,0.0077725,0.0077725,0.0077725
47,3288.02,0.37835,0.53285,0.32943,0.83709,0.9996,0.99934,0.995,0.98761,0.9996,0.99934,0.995,0.89849,0.22598,0.42478,0.14077,0.75649,0.007723,0.007723,0.007723
48,3350.11,0.37388,0.53594,0.32171,0.838,0.99959,0.99942,0.995,0.98783,0.99959,0.99942,0.995,0.89569,0.22437,0.42177,0.1413,0.75577,0.0076735,0.0076735,0.0076735
49,3411.81,0.37308,0.5301,0.32202,0.83612,0.99887,0.99862,0.99498,0.9869,0.99887,0.99862,0.99498,0.90024,0.23279,0.42461,0.14348,0.75713,0.007624,0.007624,0.007624
50,3473.5,0.37272,0.53994,0.31644,0.83714,0.99956,0.99878,0.995,0.98633,0.99956,0.99878,0.995,0.89494,0.22047,0.43369,0.13963,0.75588,0.0075745,0.0075745,0.0075745
51,3535.66,0.37508,0.53966,0.32272,0.8336,0.99979,1,0.995,0.9901,0.99979,1,0.995,0.90174,0.22616,0.41478,0.13907,0.75598,0.007525,0.007525,0.007525
52,3597.64,0.36985,0.53141,0.31642,0.83707,0.99967,1,0.995,0.98897,0.99967,1,0.995,0.89974,0.21705,0.41664,0.13709,0.75539,0.0074755,0.0074755,0.0074755
53,3659.44,0.36947,0.52956,0.31039,0.83786,0.9991,0.99934,0.995,0.98966,0.9991,0.99934,0.995,0.90255,0.22217,0.41386,0.13993,0.75664,0.007426,0.007426,0.007426
54,3721.85,0.37099,0.54137,0.31185,0.83433,0.99976,1,0.995,0.98998,0.99976,1,0.995,0.89873,0.21137,0.41469,0.13854,0.75539,0.0073765,0.0073765,0.0073765
55,3784.06,0.36536,0.53096,0.31095,0.83537,0.99972,0.99935,0.995,0.98927,0.99972,0.99935,0.995,0.89657,0.22851,0.42703,0.13938,0.75552,0.007327,0.007327,0.007327
56,3846.87,0.36665,0.52828,0.30788,0.83563,0.99983,1,0.995,0.99137,0.99983,1,0.995,0.90112,0.20836,0.40955,0.13596,0.75489,0.0072775,0.0072775,0.0072775
57,3909.76,0.36684,0.52639,0.30916,0.83519,0.99959,0.99989,0.995,0.99143,0.99959,0.99989,0.995,0.89782,0.21195,0.42741,0.1329,0.75478,0.007228,0.007228,0.007228
58,3972.51,0.3649,0.53024,0.30836,0.83628,0.99911,0.99933,0.995,0.99082,0.99911,0.99933,0.995,0.89982,0.2092,0.41505,0.13417,0.75413,0.0071785,0.0071785,0.0071785
59,4035.05,0.36457,0.52159,0.30907,0.83739,0.99039,0.99937,0.99495,0.991,0.99039,0.99937,0.99495,0.90119,0.21086,0.40939,0.14113,0.75569,0.007129,0.007129,0.007129
60,4097.85,0.3609,0.5222,0.30221,0.83423,0.99976,1,0.995,0.9908,0.99976,1,0.995,0.90322,0.21373,0.40573,0.13136,0.75473,0.0070795,0.0070795,0.0070795
61,4161.16,0.3598,0.5185,0.2999,0.83409,0.9998,1,0.995,0.99177,0.9998,1,0.995,0.90078,0.20305,0.41327,0.12651,0.75413,0.00703,0.00703,0.00703
62,4223.5,0.3601,0.52414,0.30416,0.83339,0.99979,1,0.995,0.99179,0.99979,1,0.995,0.8952,0.20347,0.41244,0.12697,0.75458,0.0069805,0.0069805,0.0069805
63,4286.48,0.3554,0.51827,0.29711,0.83491,0.99978,0.99944,0.995,0.99131,0.99978,0.99944,0.995,0.90121,0.19831,0.40331,0.12439,0.75413,0.006931,0.006931,0.006931
64,4349.81,0.36043,0.52764,0.29362,0.83523,0.99907,0.99928,0.995,0.99198,0.99907,0.99928,0.995,0.89676,0.20547,0.41632,0.12967,0.75361,0.0068815,0.0068815,0.0068815
65,4413,0.35506,0.51643,0.29365,0.83434,0.99982,1,0.995,0.99215,0.99982,1,0.995,0.90943,0.19435,0.38565,0.12476,0.75389,0.006832,0.006832,0.006832
66,4476.26,0.35724,0.52011,0.29227,0.83397,0.99981,1,0.995,0.99229,0.99981,1,0.995,0.89821,0.21131,0.4237,0.12622,0.75472,0.0067825,0.0067825,0.0067825
67,4539.36,0.35469,0.51338,0.29179,0.83425,0.99977,1,0.995,0.99186,0.99977,1,0.995,0.90532,0.20902,0.39947,0.12462,0.75454,0.006733,0.006733,0.006733
68,4602.25,0.35364,0.51979,0.28813,0.83366,0.99974,1,0.995,0.99216,0.99974,1,0.995,0.90497,0.19797,0.40085,0.12437,0.75346,0.0066835,0.0066835,0.0066835
69,4665.29,0.35346,0.51438,0.28532,0.83336,0.99955,0.99988,0.995,0.9921,0.99955,0.99988,0.995,0.90379,0.19606,0.3998,0.12359,0.75357,0.006634,0.006634,0.006634
70,4728.19,0.35486,0.5141,0.28247,0.83624,0.99935,0.99928,0.995,0.9924,0.99935,0.99928,0.995,0.90525,0.20602,0.40638,0.12792,0.75432,0.0065845,0.0065845,0.0065845
71,4790.88,0.34635,0.50722,0.28189,0.82989,0.99981,1,0.995,0.99246,0.99981,1,0.995,0.90313,0.20006,0.40023,0.12381,0.75395,0.006535,0.006535,0.006535
72,4853.56,0.35062,0.51935,0.28443,0.83415,0.99978,0.99937,0.995,0.99157,0.99978,0.99937,0.995,0.90249,0.21198,0.40595,0.12508,0.75514,0.0064855,0.0064855,0.0064855
73,4915.04,0.35298,0.51275,0.28642,0.83375,0.99896,0.99933,0.995,0.99137,0.99896,0.99933,0.995,0.90224,0.20706,0.39948,0.12391,0.75393,0.006436,0.006436,0.006436
74,4977.87,0.34852,0.51295,0.28613,0.83171,0.99917,0.99952,0.995,0.99283,0.99917,0.99952,0.995,0.89888,0.2014,0.40905,0.12387,0.75363,0.0063865,0.0063865,0.0063865
75,5039.56,0.34549,0.50128,0.2772,0.83117,0.99974,0.99934,0.995,0.99169,0.99974,0.99934,0.995,0.90309,0.20396,0.39948,0.12197,0.75382,0.006337,0.006337,0.006337
